Rank,Name,Year,Duration (min),Age Rating,Rating,Votes
120,Metropolis,1927,153,Not Rated,8.3,193K
121,Snatch,2000,102,R,8.2,939K
122,1917,2019,119,R,8.2,719K
123,L.A. Confidential,1997,138,R,8.2,637K
124,Bicycle Thieves,1948,89,Not Rated,8.2,184K
125,Downfall,2004,156,R,8.2,386K
126,Dangal,2016,161,Not Rated,8.3,223K
127,Taxi Driver,1976,114,R,8.2,969K
128,Hamilton,2020,160,PG-13,8.3,125K
129,The Wolf of Wall Street,2013,180,R,8.2,1.7M
130,Batman Begins,2005,140,PG-13,8.2,1.6M
131,Green Book,2018,130,PG-13,8.2,625K
132,For a Few Dollars More,1965,132,R,8.2,286K
133,I'm Still Here,2024,137,PG-13,8.6,86K
134,Some Like It Hot,1959,121,Approved,8.2,293K
135,The Truman Show,1998,103,PG,8.2,1.3M
136,Judgment at Nuremberg,1961,179,Approved,8.3,90K
137,The Kid,1921,68,Passed,8.2,140K
138,Shutter Island,2010,138,R,8.2,1.5M
139,The Father,2020,97,PG-13,8.2,209K
140,All About Eve,1950,138,Approved,8.2,143K
141,There Will Be Blood,2007,158,R,8.2,665K
142,Jurassic Park,1993,127,PG-13,8.2,1.1M
143,Casino,1995,178,R,8.2,587K
144,The Sixth Sense,1999,107,PG-13,8.2,1.1M
145,Ran,1985,160,R,8.2,142K
146,Top Gun: Maverick,2022,130,PG-13,8.2,760K
147,No Country for Old Men,2007,122,R,8.2,1.1M
148,The Thing,1982,109,R,8.2,492K
149,Pan's Labyrinth,2006,118,R,8.2,721K
150,Unforgiven,1992,130,R,8.2,450K
151,A Beautiful Mind,2001,135,PG-13,8.2,1M
152,Kill Bill: Vol. 1,2003,111,R,8.2,1.2M
153,The Treasure of the Sierra Madre,1948,126,Approved,8.2,136K
154,Yojimbo,1961,110,Not Rated,8.2,136K
155,Prisoners,2013,153,R,8.2,860K
156,Finding Nemo,2003,100,G,8.2,1.2M
157,The Great Escape,1963,172,Approved,8.2,266K
158,Monty Python and the Holy Grail,1975,91,PG,8.2,584K
159,Howl's Moving Castle,2004,119,PG,8.2,477K
160,The Elephant Man,1980,124,PG,8.2,270K
161,Dial M for Murder,1954,105,PG,8.2,196K
162,Gone with the Wind,1939,238,G,8.2,344K
163,Rashomon,1950,88,Not Rated,8.2,188K
164,Chinatown,1974,130,R,8.1,362K
165,Klaus,2019,96,PG,8.2,211K
166,The Secret in Their Eyes,2009,129,R,8.2,231K
167,"Lock, Stock and Two Smoking Barrels",1998,107,R,8.1,632K
168,V for Vendetta,2005,132,R,8.1,1.2M
169,Inside Out,2015,95,PG,8.1,857K
170,The Wild Robot,2024,102,PG,8.2,146K
171,"Three Billboards Outside Ebbing, Missouri",2017,115,R,8.1,577K
172,The Bridge on the River Kwai,1957,161,PG,8.1,240K
173,Trainspotting,1996,93,R,8.1,745K
174,Raging Bull,1980,129,R,8.1,393K
175,Catch Me If You Can,2002,141,PG-13,8.1,1.2M
176,Fargo,1996,98,R,8.1,750K
177,Warrior,2011,140,PG-13,8.1,511K
178,Harry Potter and the Deathly Hallows: Part 2,2011,130,PG-13,8.1,988K
179,Gran Torino,2008,116,R,8.1,834K
180,Million Dollar Baby,2004,132,PG-13,8.1,742K
181,Spider-Man: No Way Home,2021,148,PG-13,8.2,937K
182,My Neighbor Totoro,1988,86,G,8.1,402K
183,Mad Max: Fury Road,2015,120,R,8.1,1.2M
184,Ben-Hur,1959,212,G,8.1,261K
185,Children of Heaven,1997,89,PG,8.2,85K
186,Barry Lyndon,1975,185,PG,8.1,191K
187,12 Years a Slave,2013,134,R,8.1,760K
188,Before Sunrise,1995,101,R,8.1,355K
189,Blade Runner,1982,117,R,8.1,848K
190,Dead Poets Society,1989,128,PG,8.1,584K
191,The Grand Budapest Hotel,2014,99,R,8.1,919K
192,Hacksaw Ridge,2016,139,R,8.1,629K
193,Gone Girl,2014,149,R,8.1,1.1M
194,Memories of Murder,2003,132,Not Rated,8.1,236K
195,In the Name of the Father,1993,133,R,8.1,194K
196,"Monsters, Inc.",2001,92,G,8.1,1M
197,Ratatouille,2007,111,G,8.1,874K
198,The Gold Rush,1925,95,Approved,8.1,123K
199,Wild Tales,2014,122,R,8.1,226K
200,How to Train Your Dragon,2010,98,PG,8.1,835K
201,Sherlock Jr.,1924,45,Passed,8.2,61K
202,Jaws,1975,124,PG,8.1,688K
203,The Deer Hunter,1978,183,R,8.1,373K
204,Mary and Max,2009,92,Not Rated,8.1,195K
205,The General,1926,78,Passed,8.1,102K
206,Ford v Ferrari,2019,152,PG-13,8.1,514K
207,The Wages of Fear,1953,156,Not Rated,8.1,70K
208,On the Waterfront,1954,108,Approved,8.1,171K
209,Mr. Smith Goes to Washington,1939,129,Approved,8.1,125K
210,Wild Strawberries,1957,92,Not Rated,8.1,119K
211,Logan,2017,137,R,8.1,881K
212,The Third Man,1949,104,Approved,8.1,188K
213,Maharaja,N/A,N/A,N/A,8.4,64K
214,Rocky,1976,120,PG,8.1,654K
215,Tokyo Story,1953,137,Not Rated,8.1,73K
216,The Big Lebowski,1998,117,R,8.1,885K
217,Spotlight,2015,129,R,8.1,516K
218,The Seventh Seal,1957,96,Not Rated,8.1,206K
219,The Terminator,1984,107,R,8.1,957K
220,Room,2015,118,R,8.1,465K
221,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,PG-13,8.1,1.3M
222,La haine,1995,98,Not Rated,8.1,209K
223,Hotel Rwanda,2004,121,PG-13,8.1,382K
224,Jai Bhim,2021,164,Approved,8.7,224K
225,Platoon,1986,120,R,8.1,452K
226,Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,N/A,N/A,N/A,8.6,30K
227,Before Sunset,2004,80,R,8.1,300K
228,The Best Years of Our Lives,1946,170,Approved,8.1,74K
229,The Passion of Joan of Arc,1928,114,Passed,8.1,64K
230,The Exorcist,1973,122,R,8.1,474K
231,The Wizard of Oz,1939,102,G,8.1,447K
232,The Incredibles,2004,115,PG,8.0,846K
233,The Sound of Music,1965,172,G,8.1,273K
234,Rush,2013,123,R,8.1,530K
235,Hachi: A Dog's Tale,2009,93,G,8.1,325K
236,Stand by Me,1986,89,R,8.1,460K
237,Network,1976,121,R,8.1,177K
238,My Father and My Son,2005,112,Not Rated,8.2,96K
239,The Handmaiden,2016,145,Not Rated,8.1,185K
240,The Iron Giant,1999,86,PG,8.1,241K
241,To Be or Not to Be,1942,99,Approved,8.1,46K
242,The Battle of Algiers,1966,121,Not Rated,8.1,70K
243,Into the Wild,2007,148,R,8.1,675K
244,The Grapes of Wrath,1940,129,Approved,8.1,103K
245,Groundhog Day,1993,101,PG,8.0,711K
246,The Help,2011,146,PG-13,8.1,509K
247,A Silent Voice: The Movie,2016,130,Not Rated,8.1,116K
248,Amores Perros,2000,154,R,8.0,259K
249,Rebecca,1940,130,Approved,8.1,152K
250,A Man Escaped,1956,101,Not Rated,8.2,28K
